"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.005059999571903505","9082","MIR7-3","false","MIR7-3"
"0.0","0.0051877302473905575","8996","MIR7-2","false","MIR7-2"
"0.0","0.004966540208501773","9153","MIR1-2","false","MIR1-2"
"0.0","0.005317820993205496","8901","MIR1-1","false","MIR1-1"
"0.0","0.004979752272801149","9138","MIR98","false","MIR98"
"0.0","0.005756017456682557","8574","MIRLET7G","false","MIRLET7G"
"0.0","0.005413003573517367","8826","MIRLET7F2","false","MIRLET7F2"
"0.0","0.005426366236291015","8814","MIRLET7F1","false","MIRLET7F1"
"0.0","0.0058534216179427275","8504","MIRLET7E","false","MIRLET7E"
"0.0","0.005567199702549333","8719","MIRLET7D","false","MIRLET7D"
"0.0","0.005451365299605665","8799","MIRLET7C","false","MIRLET7C"
"0.0","0.005558692413765638","8724","MIRLET7A2","false","MIRLET7A2"
"0.0","5.196651267327413E-5","19340","KRT8P3","false","KRT8P3"
"0.0","0.010490590370559105","4806","LINC01554","false","LINC01554"
"0.0","3.414958145412715E-4","16645","IGKV2-28","false","IGKV2-28"
"0.0","2.3371776946201655E-4","17323","APOBR","false","APOBR"
"0.0","8.314160137761175E-5","19175","GOLGA8M","false","GOLGA8M"
"0.0","3.739458670996889E-4","16496","KIAA1614","false","KIAA1614"
"0.0","8.550824959522686E-4","14628","IGLV6-57","false","IGLV6-57"
"0.0","2.0266257364565232E-4","17534","IGLV1-51","false","IGLV1-51"
"0.0","2.0266257364565232E-4","17533","IGLV1-44","false","IGLV1-44"
"0.0","2.0266257364565232E-4","17532","IGKV1-39","false","IGKV1-39"
"0.0","2.0266257364565232E-4","17531","IGKV3-15","false","IGKV3-15"
"0.0","3.5364442599171187E-4","16596","IGLV3-19","false","IGLV3-19"
"0.0","3.347096407502932E-4","16683","IGLV1-47","false","IGLV1-47"
"0.0","2.0266257364565232E-4","17530","IGKV1D-12","false","IGKV1D-12"
"0.0","2.0266257364565232E-4","17529","IGKV1-17","false","IGKV1-17"
"0.0","3.6204586818047973E-4","16553","IGKV1D-33","false","IGKV1D-33"
"0.0","2.0266257364565232E-4","17528","IGKV1-33","false","IGKV1-33"
"0.0","9.292925481633492E-5","19083","MIR188","false","MIR188"
"0.0","9.292925481633492E-5","19082","LINC00668","false","LINC00668"
"0.0","1.761963066353724E-4","17720","CCDC79","false","CCDC79"
"0.0","0.002002077767691742","12195","LINC01198","false","LINC01198"
"0.0","5.438204842941537E-4","15702","TDRP","false","TDRP"
"0.0","1.4771786943831234E-4","18337","LINC01451","false","LINC01451"
"0.0","1.4771786943831234E-4","18336","YWHAEP7","false","YWHAEP7"
"0.0","1.4771786943831234E-4","18335","LGTN","false","LGTN"
"0.0","1.4771786943831234E-4","18334","LOC100129492","false","LOC100129492"
"0.0","1.4771786943831234E-4","18333","LOC727896","false","LOC727896"
"0.0","1.4771786943831234E-4","18332","LOC646644","false","LOC646644"
"0.0","1.4771786943831234E-4","18331","MT1IP","false","MT1IP"
"0.0","1.4771786943831234E-4","18330","RPL23AP53","false","RPL23AP53"
"0.0","1.4771786943831234E-4","18329","LOC401010","false","LOC401010"
"0.0","4.394235213546926E-4","16160","FAM98C","false","FAM98C"
"0.0","1.4771786943831234E-4","18328","RPS4XP21","false","RPS4XP21"
"0.0","6.583437039968084E-4","15280","DARS-AS1","false","DARS-AS1"
"0.0","2.4266689222193023E-4","17274","UNC5D","false","UNC5D"
"0.0","2.1394100958720157E-4","17450","FIGNL2","false","FIGNL2"
"0.0","0.007149830859228763","7449","NCF1C","false","NCF1C"
"0.0","1.4885076160042589E-4","18318","C14orf183","false","C14orf183"
"0.0","6.648830772244718E-5","19266","LINC00523","false","LINC00523"
"0.0","2.1257456318130323E-4","17460","LOC728763","false","LOC728763"
"0.0","1.1245107478641584E-4","18880","CFAP70","false","CFAP70"
"0.0","4.4496188478362404E-4","16137","IQCA1P1","false","IQCA1P1"
"0.0","1.1245107478641584E-4","18879","ECM2","false","ECM2"
"0.0","1.1245107478641584E-4","18878","DNM1P34","false","DNM1P34"
"0.0","2.5644645383817653E-4","17180","MROH2A","false","MROH2A"
"0.0","0.0020425666030184004","12138","DNAH12","false","DNAH12"
"0.0","1.0209602889951113E-4","18981","UGT2B17","false","UGT2B17"
"0.0","2.1367667236974096E-4","17451","LRRC53","false","LRRC53"
"0.0","8.610466709417744E-4","14606","IGKV2D-28","false","IGKV2D-28"
"0.0","4.3072849557108364E-4","16205","FER1L4","false","FER1L4"
"0.0","1.0209602889951113E-4","18980","C17orf98","false","C17orf98"
"0.0","2.8091419828635457E-4","17009","AMN1","false","AMN1"
"0.0","2.3131642484307895E-4","17338","KLHDC1","false","KLHDC1"
"0.0","3.5391814173950327E-4","16593","ASPN","false","ASPN"
"0.0","3.4408626542638005E-4","16638","MEG3","false","MEG3"
"0.0","5.152142625128501E-6","19566","OR4F29","false","OR4F29"
"0.0","5.152142625128501E-6","19565","OR4F16","false","OR4F16"
"0.0","5.152142625128501E-6","19564","OR4F3","false","OR4F3"
"0.0","4.665166016758331E-5","19369","ETV3L","false","ETV3L"
"0.0","1.0030152820617996E-7","19617","OR52E6","false","OR52E6"
"0.0","1.1002782135492252E-5","19536","FAM229B","false","FAM229B"
"0.0","2.277534070143389E-4","17362","SCGB1C2","false","SCGB1C2"
"0.0","2.60728733747882E-5","19479","C15orf65","false","C15orf65"
"0.0","9.330883041345991E-5","19063","HLA-DQA2","false","HLA-DQA2"
"0.0","0.01211862904349134","3846","C19orf38","false","C19orf38"
"0.0","8.321205738959175E-4","14697","OR2G6","false","OR2G6"
"0.0","7.037687448508272E-4","15131","CCL16","false","CCL16"
"0.0","1.5596517019962402E-4","17939","CLPSL2","false","CLPSL2"
"0.0","5.114716566213921E-4","15831","NXPE2","false","NXPE2"
"0.0","4.993130163362049E-5","19351","C9orf153","false","C9orf153"
"0.0","3.7538314668658045E-5","19428","POU5F2","false","POU5F2"
"0.0","3.7538314668658045E-5","19427","SIAH3","false","SIAH3"
"0.0","4.5143619717226185E-4","16112","SPPL2C","false","SPPL2C"
"0.0","4.7062456593147335E-5","19367","NOTUM","false","NOTUM"
"0.0","1.2152437774133479E-5","19531","ZNF883","false","ZNF883"
"0.0","2.776432792381943E-4","17027","PLCXD3","false","PLCXD3"
"0.0","5.80892234104848E-4","15546","OR7A17","false","OR7A17"
"0.0","4.1939145369191646E-5","19402","ZAR1","false","ZAR1"
"0.0","5.034371948553759E-4","15878","OR5H1","false","OR5H1"
"0.0","2.60728733747882E-5","19478","ACTL9","false","ACTL9"
"0.0","5.152142625128501E-6","19563","OR5AS1","false","OR5AS1"
"0.0","0.002236391218646782","11881","TEX19","false","TEX19"
"0.0","1.1628133864844443E-4","18839","ATOH7","false","ATOH7"
"0.0","0.00628888969321773","8135","IFITM5","false","IFITM5"
"0.0","3.4099022058229084E-5","19443","DEFB105B","false","DEFB105B"
"0.0","3.4099022058229084E-5","19442","DEFB105A","false","DEFB105A"
"0.0","0.0072517092742701225","7381","CCDC179","false","CCDC179"
"0.0","2.373054150416271E-5","19488","MBD3L3","false","MBD3L3"
"0.0","1.6430952386924856E-4","17846","SLC6A17","false","SLC6A17"
"0.0","0.0016524118396359499","12797","PTCHD3","false","PTCHD3"
"0.0","1.423620876117484E-4","18389","EIF4E1B","false","EIF4E1B"
"0.0","2.5340377342945967E-5","19480","GS1-259H13.2","false","GS1-259H13.2"
"0.0","1.540476335831353E-4","18020","SCN4B","false","SCN4B"
"0.0","7.447685932841776E-5","19232","GPR148","false","GPR148"
"0.0","5.555364938593195E-4","15656","ZNF345","false","ZNF345"
"0.0","1.1779853688196236E-4","18833","DEFB132","false","DEFB132"
"0.0","4.4384605866936875E-4","16144","PRR30","false","PRR30"
"0.0","3.7199026197264333E-4","16502","PRRT1","false","PRRT1"
"0.0","2.7508826579909507E-5","19472","LKAAEAR1","false","LKAAEAR1"
"0.0","0.00106684260927261","14073","TMEM95","false","TMEM95"
"0.0","7.00790716177583E-5","19249","SLC26A5","false","SLC26A5"
"0.0","6.032585635134801E-4","15478","NIPA1","false","NIPA1"
"0.0","4.31307349687276E-5","19397","RRH","false","RRH"
"0.0","0.006933458289838108","7629","GSX1","false","GSX1"
"0.0","1.583235015920152E-5","19510","SLC38A11","false","SLC38A11"
"0.0","0.0011050202032910554","13982","PARM1","false","PARM1"
"0.0","9.209459790144088E-5","19106","C3orf56","false","C3orf56"
"0.0","6.878129237486498E-4","15190","FDCSP","false","FDCSP"
"0.0","1.5442732778527622E-4","18017","ZNF789","false","ZNF789"
"0.0","2.1226341076310866E-4","17467","MFSD2A","false","MFSD2A"
"0.0","1.9045611968363676E-4","17618","CD200R1L","false","CD200R1L"
"0.0","1.919671483563177E-4","17608","GALR1","false","GALR1"
"0.0","1.0199231577091135E-5","19542","OR6C1","false","OR6C1"
"0.0","1.0199231577091135E-5","19541","OR1L3","false","OR1L3"
"0.0","6.924514090045313E-4","15174","MS4A6E","false","MS4A6E"
"0.0","6.255128289069695E-6","19560","C2orf15","false","C2orf15"
"0.0","1.6061862571850326E-5","19509","PRR23D2","false","PRR23D2"
